RefName, ReferralSince, LastClicked, TotalClicks
R906773574,20101231,20110718,250
R55231412,20110105,20110718,189
R263623688,20110311,20110718,57
R291948719,20110320,20110707,60
R483937357,20110329,20110712,48
R208667181,20110412,20110711,46
R352105423,20110412,20110711,40
R760468939,20110412,20110716,71
R16724589,20110413,20110704,44
R170737492,20110413,20110706,37
R981784501,20110413,20110715,42
R154859401,20110415,20110716,36
R761275705,20110415,20110717,49
R796654438,20110415,20110714,41
R300555322,20110415,20110713,55
R455282174,20110415,20110707,46
R635379291,20110415,20110709,51
R245766342,20110415,20110711,66
R484008725,20110416,20110717,42
R467267205,20110416,20110717,55
R460567134,20110416,20110712,44
R234224055,20110416,20110713,48
R181536765,20110416,20110709,48
R141384137,20110416,20110709,48
R826435937,20110417,20110707,52
R76550044,20110417,20110711,45
R418831727,20110417,20110707,39
R30836222,20110417,20110704,38
R46699545,20110417,20110713,51
R224629144,20110417,20110713,42
R448927109,20110417,20110717,41
R536019757,20110417,20110714,53
R396754586,20110418,20110707,34
R828372964,20110425,20110714,41
R178343909,20110425,20110718,37
R105234476,20110502,20110717,49
R945545687,20110502,20110716,47
R813632319,20110502,20110714,46
R574548724,20110502,20110710,31
R429332882,20110502,20110708,40
R744552613,20110502,20110709,41
R668850874,20110502,20110709,40
R161248598,20110504,20110706,51
R440799346,20110504,20110704,50
R667316997,20110505,20110713,43
R609823104,20110505,20110715,39
R66485175,20110505,20110718,56
R241324954,20110506,20110718,44
R854173725,20110506,20110707,42
R870679962,20110509,20110717,32
R409619468,20110510,20110718,52
R598973152,20110514,20110717,36
R81081361,20110517,20110715,46
R77815169,20110517,20110713,21
R243380089,20110518,20110711,30
R405220505,20110518,20110706,37
R213453499,20110518,20110713,42
R965639868,20110518,20110716,35
R786616904,20110519,20110716,44
R425270570,20110519,20110715,31
R101017568,20110519,20110717,27
R87810972,20110521,20110717,51
R827827613,20110521,20110717,39
R177364272,20110521,20110717,53
R734327682,20110521,20110718,28
R659241664,20110521,20110718,53
R983374012,20110521,20110715,43
R527606148,20110521,20110715,49
R169468675,20110521,20110716,32
R209866332,20110521,20110714,32
R662829627,20110521,20110714,48
R634244011,20110521,20110709,35
R504667502,20110521,20110717,41
R926948370,20110522,20110715,42
R963993148,20110523,20110713,30
R455509549,20110523,20110718,33
R518777510,20110524,20110713,36
R925665908,20110524,20110711,40
R723716548,20110524,20110715,45
R804566344,20110524,20110717,37
R745515349,20110527,20110712,26
R651294225,20110527,20110707,22
R761576948,20110527,20110716,25
R620248440,20110527,20110716,22
R685562843,20110528,20110706,22
R741071550,20110529,20110718,45
R633201367,20110529,20110715,18
R394374587,20110529,20110718,36
R27849712,20110530,20110710,32
R771700335,20110530,20110717,39
R22698101,20110530,20110717,46
R844301952,20110530,20110718,37
R942037015,20110530,20110718,38
R876819364,20110530,20110716,28
R820619672,20110530,20110715,34
R867900043,20110530,20110715,24
R284503370,20110530,20110715,30
R543166589,20110530,20110710,25
R637873577,20110530,20110708,34
R846240056,20110530,20110707,32
R452334207,20110530,20110705,20
R185400765,20110530,20110718,39
R983482490,20110531,20110716,21
R60076514,20110602,20110715,30
R994286286,20110602,20110715,30
R705625133,20110602,20110715,33
R39184585,20110602,20110709,38
R988231351,20110602,20110711,29
R797092451,20110602,20110714,23
R359649579,20110602,20110712,33
R225479720,20110602,20110718,28
R808688639,20110604,20110717,22
R442633017,20110604,20110717,35
R231898566,20110604,20110715,28
R553747816,20110604,20110711,30
R301925444,20110604,20110712,31
R230173561,20110604,20110710,24
R402792919,20110604,20110714,18
R703086452,20110604,20110712,38
R368254574,20110604,20110716,21
R343636625,20110604,20110712,20
R158014920,20110606,20110713,26
R470877149,20110606,20110718,39
R623332027,20110606,20110717,36
R508636597,20110607,20110718,33
R662427534,20110607,20110717,35
R627912371,20110608,20110714,21
R213399563,20110608,20110716,31
R987312527,20110608,20110716,11
R594909256,20110608,20110712,17
R940428811,20110608,20110715,13
R909960255,20110608,20110718,18
R218353271,20110609,20110718,29
R75346951,20110609,20110718,24
R633420174,20110609,20110717,29
R482699466,20110609,20110712,21
R234035660,20110610,20110710,21
R742152985,20110610,20110704,22
R474658283,20110610,20110717,21
R898350490,20110610,20110710,24
R136535707,20110610,20110718,23
R28635479,20110611,20110716,21
R633428960,20110611,20110717,32
R321843571,20110611,20110708,27
R78348382,20110612,20110706,11
R365182643,20110613,20110716,24
R262893941,20110613,20110717,23
R815246538,20110614,20110706,14
R557412168,20110614,20110711,13
R846206764,20110614,20110716,28
R290770438,20110614,20110718,35
R383029389,20110614,20110718,20
R781561836,20110614,20110713,20
R427953607,20110614,20110714,27
R690153374,20110614,20110704,19
R653036659,20110614,20110710,30
R167129473,20110614,20110717,22
R390412826,20110615,20110708,20
R382045841,20110615,20110714,17
R80478313,20110615,20110718,14
R819017051,20110616,20110708,20
R605600074,20110616,20110718,14
R162270694,20110616,20110717,17
R824890634,20110616,20110706,9
R952781373,20110617,20110717,17
R132196162,20110617,20110718,34
R512679474,20110617,20110717,17
R717017435,20110617,20110713,22
R824527175,20110617,20110707,23
R914830135,20110617,20110717,23
R759657795,20110617,20110715,14
R688814755,20110617,20110715,24
R427817555,20110618,20110717,15
R148704960,20110619,20110715,19
R933496908,20110619,20110713,21
R403192277,20110619,20110717,16
R261180700,20110619,20110717,26
R355758969,20110620,20110714,26
R946585413,20110620,20110718,10
R681941667,20110620,20110714,18
R342595896,20110620,20110713,15
R977284932,20110620,20110707,18
R98288675,20110621,20110715,15
R569543574,20110621,20110718,15
R169637638,20110622,20110718,13
R954166739,20110622,20110718,23
R335657917,20110622,20110707,18
R703376693,20110622,20110712,18
R822533376,20110623,20110715,12
R626469754,20110624,20110717,15
R742803932,20110624,20110718,14
R555517890,20110625,20110716,18
R26758095,20110625,20110717,21
R52476939,20110625,20110715,14
R44615133,20110625,20110712,11
R73120067,20110625,20110706,7
R360061010,20110625,20110715,24
R858948618,20110625,20110710,17
R121931319,20110625,20110713,18
R941283909,20110626,20110712,7
R353850312,20110626,20110712,12
R674351698,20110626,20110715,15
R525368496,20110627,20110709,12
R433936548,20110627,20110706,10
R977116518,20110627,20110714,14
R826698926,20110627,20110715,8
R304119132,20110627,20110708,8
R128736859,20110627,20110717,14
R708331883,20110628,20110715,31
R775681007,20110628,20110712,11
R781060021,20110628,20110717,17
R499536511,20110629,20110718,15
R703952772,20110630,20110716,7
R468955426,20110630,20110706,10
R600421506,20110630,20110718,9
R433904920,20110630,20110716,11
R726812893,20110630,20110711,3
R224483093,20110630,20110714,14
R494534699,20110701,20110717,14
R695370782,20110701,20110717,3
R509373472,20110701,20110718,8
R787256402,20110702,20110714,10
R687004880,20110702,20110706,7
R133996324,20110702,20110706,7
R635054428,20110703,20110713,0
R706659044,20110703,20110714,21
R844366950,20110703,20110716,11
R143939294,20110703,20110711,15
R390562813,20110703,20110716,3
R948703829,20110704,20110711,7
R354976372,20110704,20110714,9
R160147658,20110704,20110714,10
R750508575,20110704,20110711,7
R645228996,20110704,20110716,18
R947970726,20110704,20110716,4
R394870314,20110704,20110715,17
R212755107,20110704,20110718,6
R220139254,20110704,20110718,19
R154285185,20110705,20110718,8
R454972907,20110705,20110712,3
R585533720,20110706,20110715,7
R559401188,20110706,20110718,7
R714026202,20110706,20110713,3
R532149717,20110706,20110714,3
R232622861,20110706,20110715,4
R94073703,20110706,20110712,7
R784606421,20110706,20110718,14
R123794826,20110706,20110712,0
R781246802,20110706,20110716,10
R292073893,20110707,20011231,0
R525232669,20110707,20110716,3
R527209926,20110707,20110717,6
R62567289,20110707,20110713,4
R450042925,20110707,20110718,10
R46151490,20110707,20110715,12
R315226932,20110707,20110718,8
R461289930,20110708,20110714,7
R40923473,20110708,20110716,4
R146803464,20110708,20110717,11
R639348126,20110709,20110718,4
R658485205,20110709,20110718,7
R718853787,20110709,20110711,3
R432033568,20110709,20110714,4
R65179207,20110709,20110718,9
R688271187,20110709,20110715,6
R604900803,20110709,20110716,3
R882788799,20110710,20110711,3
R233778558,20110710,20110715,3
R761957814,20110710,20110716,4
R373089911,20110710,20110718,7
R175890557,20110710,20110713,8
R57495252,20110710,20110717,8
R538564963,20110711,20110716,3
R553993314,20110712,20110714,8
R710640105,20110712,20110716,0
R971145277,20110712,20011231,0
R865672995,20110712,20110718,6
R446440969,20110712,20011231,0
R613540987,20110712,20110715,4
R260340643,20110712,20110716,7
R245589502,20110713,20110716,7
R950690596,20110713,20110717,3
R284997702,20110713,20110718,8
R180564543,20110713,20110716,7
R211116757,20110713,20110715,4
R599941305,20110713,20110717,4
R378831990,20110713,20110717,6
R681222567,20110713,20110717,9
R496911056,20110714,20110718,4
R33296426,20110714,20011231,0
R243882399,20110715,20011231,0
R902790189,20110715,20011231,0
R836923917,20110715,20011231,0
R975517842,20110715,20110718,3
R588235180,20110715,20011231,0
R559658621,20110716,20110718,3
R672483305,20110716,20011231,0
R517090563,20110717,20011231,0
R737157784,20110717,20011231,0
R681277286,20110717,20011231,0
